ticker,group
CMS,sp500_2021_start_panel
CNC,sp500_2021_start_panel
CNP,sp500_2021_start_panel
COF,sp500_2021_start_panel
COO,sp500_2021_start_panel
COP,sp500_2021_start_panel
COR,sp500_2021_start_panel
COST,sp500_2021_start_panel
CPB,sp500_2021_start_panel
CPRT,sp500_2021_start_panel
CRM,sp500_2021_start_panel
CSCO,sp500_2021_start_panel
CSX,sp500_2021_start_panel
CTAS,sp500_2021_start_panel
CTLT,sp500_2021_start_panel
CTRA,sp500_2021_start_panel
CTSH,sp500_2021_start_panel
CTVA,sp500_2021_start_panel
CTXS,sp500_2021_start_panel
CVS,sp500_2021_start_panel
CVX,sp500_2021_start_panel
CXO,sp500_2021_start_panel
D,sp500_2021_start_panel
DAL,sp500_2021_start_panel
DD,sp500_2021_start_panel
DE,sp500_2021_start_panel
DFS,sp500_2021_start_panel
DG,sp500_2021_start_panel
DGX,sp500_2021_start_panel
DHI,sp500_2021_start_panel
DHR,sp500_2021_start_panel
DIS,sp500_2021_start_panel
DISCA,sp500_2021_start_panel
DISCK,sp500_2021_start_panel
DISH,sp500_2021_start_panel
DLR,sp500_2021_start_panel
DLTR,sp500_2021_start_panel
DOC,sp500_2021_start_panel
DOV,sp500_2021_start_panel
DOW,sp500_2021_start_panel
DPZ,sp500_2021_start_panel
DRE,sp500_2021_start_panel
DRI,sp500_2021_start_panel
DTE,sp500_2021_start_panel
DUK,sp500_2021_start_panel
DVA,sp500_2021_start_panel
DVN,sp500_2021_start_panel
DXC,sp500_2021_start_panel
DXCM,sp500_2021_start_panel
EA,sp500_2021_start_panel
EBAY,sp500_2021_start_panel
ECHO,sp500_2021_start_panel
ECL,sp500_2021_start_panel
ED,sp500_2021_start_panel
EFX,sp500_2021_start_panel
EG,sp500_2021_start_panel
EIX,sp500_2021_start_panel
EL,sp500_2021_start_panel
ELV,sp500_2021_start_panel
EMN,sp500_2021_start_panel
EMR,sp500_2021_start_panel
EOG,sp500_2021_start_panel
EQIX,sp500_2021_start_panel
ES,sp500_2021_start_panel
ESS,sp500_2021_start_panel
ETN,sp500_2021_start_panel
ETR,sp500_2021_start_panel
ETSY,sp500_2021_start_panel
EVRG,sp500_2021_start_panel
EW,sp500_2021_start_panel
EXC,sp500_2021_start_panel
EXPD,sp500_2021_start_panel
EXPE,sp500_2021_start_panel
EXR,sp500_2021_start_panel
F,sp500_2021_start_panel
FANG,sp500_2021_start_panel
FAST,sp500_2021_start_panel
FBHS,sp500_2021_start_panel
FCX,sp500_2021_start_panel
FDX,sp500_2021_start_panel
FE,sp500_2021_start_panel
FFIV,sp500_2021_start_panel
FIS,sp500_2021_start_panel
FISV,sp500_2021_start_panel
FITB,sp500_2021_start_panel
FLIR,sp500_2021_start_panel
FLS,sp500_2021_start_panel
FLT,sp500_2021_start_panel
FMC,sp500_2021_start_panel
FOX,sp500_2021_start_panel
FRC,sp500_2021_start_panel
FRT,sp500_2021_start_panel
FTI,sp500_2021_start_panel
FTNT,sp500_2021_start_panel
FTV,sp500_2021_start_panel
GD,sp500_2021_start_panel
GE,sp500_2021_start_panel
GEN,sp500_2021_start_panel
GILD,sp500_2021_start_panel
GIS,sp500_2021_start_panel
GL,sp500_2021_start_panel
GLW,sp500_2021_start_panel
GM,sp500_2021_start_panel
GOOGL,sp500_2021_start_panel
GPC,sp500_2021_start_panel
GPN,sp500_2021_start_panel
GPS,sp500_2021_start_panel
GRMN,sp500_2021_start_panel
GS,sp500_2021_start_panel
GWW,sp500_2021_start_panel
HAL,sp500_2021_start_panel
HAS,sp500_2021_start_panel
HBAN,sp500_2021_start_panel
HBI,sp500_2021_start_panel
HCA,sp500_2021_start_panel
HD,sp500_2021_start_panel
HES,sp500_2021_start_panel
HFC,sp500_2021_start_panel
HIG,sp500_2021_start_panel
HII,sp500_2021_start_panel
HLT,sp500_2021_start_panel
HOLX,sp500_2021_start_panel
HON,sp500_2021_start_panel
HPE,sp500_2021_start_panel
HPQ,sp500_2021_start_panel
HRL,sp500_2021_start_panel
HSIC,sp500_2021_start_panel
HST,sp500_2021_start_panel
HSY,sp500_2021_start_panel
HUM,sp500_2021_start_panel
HWM,sp500_2021_start_panel
IBM,sp500_2021_start_panel
ICE,sp500_2021_start_panel
IDXX,sp500_2021_start_panel
IEX,sp500_2021_start_panel
IFF,sp500_2021_start_panel
ILMN,sp500_2021_start_panel
INCY,sp500_2021_start_panel
INFO,sp500_2021_start_panel
INTC,sp500_2021_start_panel
INTU,sp500_2021_start_panel
IP,sp500_2021_start_panel
IPG,sp500_2021_start_panel
IPGP,sp500_2021_start_panel
IQV,sp500_2021_start_panel
IR,sp500_2021_start_panel
IRM,sp500_2021_start_panel
ISRG,sp500_2021_start_panel
IT,sp500_2021_start_panel
ITW,sp500_2021_start_panel
IVZ,sp500_2021_start_panel
J,sp500_2021_start_panel
JBHT,sp500_2021_start_panel
JCI,sp500_2021_start_panel
JKHY,sp500_2021_start_panel
JNJ,sp500_2021_start_panel
JNPR,sp500_2021_start_panel
JPM,sp500_2021_start_panel
K,sp500_2021_start_panel
KEY,sp500_2021_start_panel
KEYS,sp500_2021_start_panel
KHC,sp500_2021_start_panel
KIM,sp500_2021_start_panel
KLAC,sp500_2021_start_panel
KMB,sp500_2021_start_panel
KMI,sp500_2021_start_panel
KMX,sp500_2021_start_panel
KO,sp500_2021_start_panel
KR,sp500_2021_start_panel
KSU,sp500_2021_start_panel
L,sp500_2021_start_panel
LDOS,sp500_2021_start_panel
LEG,sp500_2021_start_panel
LEN,sp500_2021_start_panel
LH,sp500_2021_start_panel
LHX,sp500_2021_start_panel
LIN,sp500_2021_start_panel
LKQ,sp500_2021_start_panel
LLY,sp500_2021_start_panel
LMT,sp500_2021_start_panel
LNC,sp500_2021_start_panel
LNT,sp500_2021_start_panel
LOW,sp500_2021_start_panel
LRCX,sp500_2021_start_panel
LUMN,sp500_2021_start_panel
LUV,sp500_2021_start_panel
LVS,sp500_2021_start_panel
LW,sp500_2021_start_panel
LYB,sp500_2021_start_panel
LYV,sp500_2021_start_panel
MA,sp500_2021_start_panel
MAA,sp500_2021_start_panel
MAR,sp500_2021_start_panel
MAS,sp500_2021_start_panel
MCD,sp500_2021_start_panel
MCHP,sp500_2021_start_panel
MCK,sp500_2021_start_panel
MCO,sp500_2021_start_panel
MDLZ,sp500_2021_start_panel
MDT,sp500_2021_start_panel
MET,sp500_2021_start_panel
META,sp500_2021_start_panel
MGM,sp500_2021_start_panel
MHK,sp500_2021_start_panel
MKC,sp500_2021_start_panel
MKTX,sp500_2021_start_panel
MLM,sp500_2021_start_panel
MMM,sp500_2021_start_panel
MNST,sp500_2021_start_panel
MO,sp500_2021_start_panel
MOS,sp500_2021_start_panel
MPC,sp500_2021_start_panel
MRK,sp500_2021_start_panel
MRO,sp500_2021_start_panel
MRSH,sp500_2021_start_panel
MS,sp500_2021_start_panel
MSCI,sp500_2021_start_panel
MSFT,sp500_2021_start_panel
MSI,sp500_2021_start_panel
MTB,sp500_2021_start_panel
MTD,sp500_2021_start_panel
MU,sp500_2021_start_panel
MXIM,sp500_2021_start_panel
NCLH,sp500_2021_start_panel
NDAQ,sp500_2021_start_panel
NEE,sp500_2021_start_panel
NEM,sp500_2021_start_panel
NFLX,sp500_2021_start_panel
NI,sp500_2021_start_panel
NKE,sp500_2021_start_panel
NLSN,sp500_2021_start_panel
NOC,sp500_2021_start_panel
NOV,sp500_2021_start_panel
NOW,sp500_2021_start_panel
NRG,sp500_2021_start_panel
NSC,sp500_2021_start_panel
NTAP,sp500_2021_start_panel
NTRS,sp500_2021_start_panel
NUE,sp500_2021_start_panel
NVDA,sp500_2021_start_panel
NVR,sp500_2021_start_panel
NWL,sp500_2021_start_panel
NWS,sp500_2021_start_panel
O,sp500_2021_start_panel
ODFL,sp500_2021_start_panel
OKE,sp500_2021_start_panel
OMC,sp500_2021_start_panel
ORCL,sp500_2021_start_panel
ORLY,sp500_2021_start_panel
OTIS,sp500_2021_start_panel
OXY,sp500_2021_start_panel
PAYC,sp500_2021_start_panel
PAYX,sp500_2021_start_panel
PBCT,sp500_2021_start_panel
PCAR,sp500_2021_start_panel
PEG,sp500_2021_start_panel
PEP,sp500_2021_start_panel
PFE,sp500_2021_start_panel
PFG,sp500_2021_start_panel
PG,sp500_2021_start_panel
PGR,sp500_2021_start_panel
PH,sp500_2021_start_panel
PHM,sp500_2021_start_panel
PKG,sp500_2021_start_panel
PLD,sp500_2021_start_panel
PM,sp500_2021_start_panel
PNC,sp500_2021_start_panel
PNR,sp500_2021_start_panel
