lei,name,country_code,n_filings,first_period_end,last_period_end,source,built_at
8156005CF920F2A40C13,IL SOLE 24 ORE S.P.A.,it,3,2022-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156005D6ADE56371580,MITTEL S.P.A.,it,3,2021-12-31,2023-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156005DBE6CA468DD09,TOSCANA AEROPORTI S.P.A.,it,5,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156005DEB4D90F3E360,CY4GATE S.P.A.,it,2,2024-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156005E235E751B6662,NEODECORTECH S.P.A.,it,3,2023-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560064085A02B2B297,MEDIOCREDITO CENTRALE - BANCA DEL MEZZOGIORNO S.P.A.,it,2,2024-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560066183FE361C071,"INFRASTRUTTURE WIRELESS ITALIANE S.P.A. O, IN FORMA ABBREVIATA, INWIT S.P.A.",it,3,2023-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560069517A53E0F607,EEMS ITALIA SPA,it,4,2022-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560069957E4ACDD336,TESMEC SPA,it,5,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156006C71E895860132,SANLORENZO S.P.A. IN SIGLA SL S.P.A.,it,2,2021-12-31,2022-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156006CA80A76A7B556,"VALSOIA S.P.A. (IN FORMA ESTESA ""VALSOIA - BONTA' E SALUTE - S.P.A."" O IN SIGLA ANCHE ""V.B.S. S.P.A."")",it,1,2025-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560070BFE803A30458,RISANAMENTO SPA,it,5,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156007154CD8334D053,TECHNOPROBE S.P.A.,it,3,2023-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156007367A2044B7685,PIOVAN S.P.A.,it,4,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560073B19D33D7DD18,B&C SPEAKERS S.P.A.,it,2,2024-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560076BBCFC45A0964,ABITARE IN S.P.A.,it,4,2022-09-30,2025-09-30,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156007833AB49068789,THE ITALIAN SEA GROUP S.P.A.,it,4,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156007AF7DB5FE05555,DOVALUE S.P.A.,it,6,2021-12-31,2023-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156007BF621CA1B1630,CALEFFI - S.P.A.,it,2,2021-12-31,2022-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156007E3375956ADD08,ESPRINET S.P.A.,it,8,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
815600807B866042D307,ANTARES VISION S.P.A.,it,6,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
815600835712F7BA2869,"""BANCA FINNAT EURAMERICA S.P.A."" E, IN FORMA ABBREVIATA ""BANCA FINNAT S.P.A."" O ANCHE ""BANCA EURAMERICA S.P.A.""",it,2,2021-12-31,2021-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
815600857F45E3102897,"""LA DORIA"" - S.P.A.",it,1,2021-12-31,2021-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156008B5A6D3D9AF935,MONRIF S.P.A.,it,3,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156008B8E5062681624,CELLULARLINE S.P.A.,it,4,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156008BFBC06F53DD56,CEMBRE S.P.A.,it,5,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156008C44408AB6D716,SECO S.P.A.,it,2,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156008D2857B5A0B033,BORGOSESIA S.P.A.,it,3,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156008E82BF2BFE0A35,BASIC NET S.P.A.,it,4,2022-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156008F25C4B0E7C860,AVIO S.P.A.,it,6,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
